thr,comparison,metric,mean_delta,ci_lo,ci_hi,sig_95
thr001,integ-phase2,AP,0.0032,-0.0001,0.0069,False
thr001,integ-phase2,hits@100,0.268,-5.0,5.0,False
thr001,integ-phase2,hits@500,4.709,-4.0,14.0,False
thr001,integ-phase2,hits@1000,8.465,1.0,16.0,True
thr001,integ-a1,AP,0.0031,0.0007,0.0069,True
thr001,integ-a1,hits@100,2.638,-3.0,8.0,False
thr001,integ-a1,hits@500,4.373,-3.0,12.0,False
thr001,integ-a1,hits@1000,3.875,-5.0,12.025,False
thr005,integ-phase2,AP,0.0009,-0.0007,0.0025,False
thr005,integ-phase2,hits@100,3.902,-1.0,9.0,False
thr005,integ-phase2,hits@500,5.497,-2.0,14.0,False
thr005,integ-phase2,hits@1000,2.747,-8.0,13.0,False
thr005,integ-a1,AP,0.0021,0.0009,0.0039,True
thr005,integ-a1,hits@100,4.665,0.0,10.0,False
thr005,integ-a1,hits@500,5.936,-1.0,13.0,False
thr005,integ-a1,hits@1000,8.972,-0.025,18.025,False
thr010,integ-phase2,AP,-0.0,-0.0008,0.0008,False
thr010,integ-phase2,hits@100,-0.216,-4.0,3.0,False
thr010,integ-phase2,hits@500,0.996,-7.025,10.0,False
thr010,integ-phase2,hits@1000,-6.352,-19.0,7.0,False
thr010,integ-a1,AP,0.0022,0.0013,0.0032,True
thr010,integ-a1,hits@100,0.876,-3.025,6.0,False
thr010,integ-a1,hits@500,5.091,-4.0,15.0,False
thr010,integ-a1,hits@1000,11.117,-1.0,24.025,False
