model,metric,mean,ci_lo,ci_hi,sd
BI Q_35,AP,0.007,0.0044,0.0114,0.0018
BI Q_35,P@100,0.0645,0.02,0.12,0.0253
BI Q_35,lift@100,25.2939,7.8431,47.0584,9.9049
BI Q_35,P@500,0.029,0.016,0.046,0.0077
BI Q_35,lift@500,11.3889,6.2744,18.039,3.0193
BI Q_35,P@1000,0.0217,0.013,0.031,0.0048
BI Q_35,lift@1000,8.5211,5.098,12.1567,1.875
XGBoost,AP,0.0071,0.005,0.0105,0.0014
XGBoost,P@100,0.0418,0.01,0.09,0.0201
XGBoost,lift@100,16.4077,3.9215,35.2938,7.8804
XGBoost,P@500,0.0186,0.008,0.03,0.0059
XGBoost,lift@500,7.2917,3.1372,11.7646,2.3137
XGBoost,P@1000,0.0203,0.012,0.03,0.0045
XGBoost,lift@1000,7.9517,4.7058,11.7646,1.7696
LogisticReg,AP,0.0085,0.0066,0.0109,0.0011
LogisticReg,P@100,0.0126,0.0,0.04,0.0114
LogisticReg,lift@100,4.9294,0.0,15.6861,4.4832
LogisticReg,P@500,0.0252,0.012,0.04,0.0071
LogisticReg,lift@500,9.8932,4.7058,15.6861,2.7925
LogisticReg,P@1000,0.02,0.012,0.03,0.0046
LogisticReg,lift@1000,7.834,4.696,11.7646,1.8112
