ipc_subclass,bi_count,bi_psb_count,bi_average_precision,bi_precision@100,bi_precision@200,bi_precision@500,q35_count,q35_psb_count,q35_average_precision,q35_precision@100,q35_precision@200,q35_precision@500,rf_count,rf_psb_count,rf_average_precision,rf_precision@100,rf_precision@200,rf_precision@500,xgb_count,xgb_psb_count,xgb_average_precision,xgb_precision@100,xgb_precision@200,xgb_precision@500,beauty_count,beauty_psb_count,beauty_average_precision,beauty_precision@100,beauty_precision@200,beauty_precision@500
G01N,3093,7,0.0022631749110895573,0.01,0.01,0.004,3093,7,0.002593385480410532,0.0,0.0,0.002,3093,7,0.002271526054843072,0.0,0.0,0.0,3093,7,0.0033154311814439998,0.0,0.0,0.002,3093,7,0.9999999999999998,0.07,0.035,0.014
B32B,2622,7,0.002669717772692601,0.01,0.005,0.004,2622,7,0.004652151860678969,0.01,0.005,0.002,2622,7,0.0027041240010648535,0.0,0.0,0.002,2622,7,0.0037966650135132438,0.0,0.0,0.004,2622,7,1.0,0.07,0.035,0.014
A61B,2092,6,0.0028680688336520078,0.01,0.005,0.004,2092,6,0.004911319505287448,0.0,0.005,0.006,2092,6,0.005120610516011629,0.0,0.005,0.004,2092,6,0.009321954274058646,0.01,0.01,0.004,2092,6,1.0,0.06,0.03,0.012
A61K,4422,6,0.0013568521031207597,0.0,0.005,0.002,4422,6,0.0012194113591482262,0.0,0.0,0.0,4422,6,0.008110730465903437,0.0,0.01,0.008,4422,6,0.00987090975216843,0.02,0.01,0.004,4422,6,1.0,0.06,0.03,0.012
C07C,2280,5,0.0021929824561403508,0.0,0.0,0.0,2280,5,0.0024839650553816306,0.0,0.0,0.002,2280,5,0.004692097081799065,0.0,0.005,0.004,2280,5,0.0021378333525297593,0.0,0.0,0.0,2280,5,1.0,0.05,0.025,0.01
G06F,3774,5,0.0013248542660307366,0.0,0.0,0.0,3774,5,0.004104975124180531,0.0,0.0,0.004,3774,5,0.0013628432353653013,0.0,0.0,0.0,3774,5,0.0034532574331163886,0.01,0.005,0.002,3774,5,1.0,0.05,0.025,0.01
H01L,2944,5,0.0016983695652173913,0.0,0.0,0.0,2944,5,0.0012897664803209088,0.0,0.0,0.0,2944,5,0.0015159128677155668,0.0,0.0,0.0,2944,5,0.0016786110770158433,0.0,0.0,0.0,2944,5,1.0,0.05,0.025,0.01
C07D,2121,5,0.0023573785950023575,0.0,0.005,0.002,2121,5,0.005158259651025376,0.0,0.005,0.004,2121,5,0.0032904583617948315,0.0,0.0,0.002,2121,5,0.0038432389988560696,0.0,0.0,0.004,2121,5,1.0,0.05,0.025,0.01
B29C,1618,4,0.002472187886279357,0.01,0.005,0.006,1618,4,0.0063957127029176655,0.0,0.0,0.006,1618,4,0.0038210143537710708,0.0,0.0,0.004,1618,4,0.005347429361409316,0.0,0.0,0.004,1618,4,1.0,0.04,0.02,0.008
B65H,1380,4,0.002898550724637681,0.0,0.0,0.0,1380,4,0.014887101189462126,0.01,0.005,0.004,1380,4,0.003623415069092634,0.0,0.0,0.002,1380,4,0.0064774364815824185,0.0,0.01,0.004,1380,4,1.0,0.04,0.02,0.008
