ipc_subclass,bi_count,bi_psb_count,bi_average_precision,bi_precision@100,bi_precision@200,bi_precision@500,q35_count,q35_psb_count,q35_average_precision,q35_precision@100,q35_precision@200,q35_precision@500,rf_count,rf_psb_count,rf_average_precision,rf_precision@100,rf_precision@200,rf_precision@500,xgb_count,xgb_psb_count,xgb_average_precision,xgb_precision@100,xgb_precision@200,xgb_precision@500,lr_count,lr_psb_count,lr_average_precision,lr_precision@100,lr_precision@200,lr_precision@500,beauty_early_count,beauty_early_psb_count,beauty_early_average_precision,beauty_early_precision@100,beauty_early_precision@200,beauty_early_precision@500
A61K,4422,37,0.008367254635911352,0.01,0.01,0.004,4422,37,0.012228801542429895,0.0,0.005,0.012,4422,37,0.017525134422228812,0.01,0.01,0.018,4422,37,0.011322887438554767,0.01,0.005,0.004,4422,37,0.009755542684796063,0.0,0.005,0.006,4422,37,0.007561261736904811,0.01,0.01,0.006
G01N,3093,34,0.010992563853863564,0.03,0.02,0.01,3093,34,0.01927787870560922,0.03,0.035,0.018,3093,34,0.018047520481952253,0.01,0.005,0.016,3093,34,0.013227910887341775,0.02,0.015,0.012,3093,34,0.021023902286499946,0.02,0.02,0.022,3093,34,0.014507066819030077,0.02,0.01,0.012
G06F,3774,27,0.007154213036565978,0.0,0.005,0.006,3774,27,0.007933337783272272,0.0,0.015,0.008,3774,27,0.008454355745600536,0.01,0.005,0.004,3774,27,0.007508956662174473,0.01,0.005,0.004,3774,27,0.009085802022163443,0.01,0.01,0.012,3774,27,0.010346046898314209,0.02,0.02,0.012
C07C,2280,26,0.011403508771929825,0.0,0.0,0.0,2280,26,0.011732984406181191,0.0,0.01,0.01,2280,26,0.013807945931342894,0.01,0.01,0.01,2280,26,0.011416882281921982,0.0,0.005,0.006,2280,26,0.012991201655894524,0.01,0.015,0.014,2280,26,0.014666667243748596,0.03,0.02,0.018
H01L,2944,22,0.007472826086956522,0.0,0.005,0.008,2944,22,0.016135682506343403,0.02,0.02,0.016,2944,22,0.012129841031749099,0.02,0.015,0.012,2944,22,0.010489880927228272,0.0,0.005,0.012,2944,22,0.03309476915475633,0.03,0.025,0.02,2944,22,0.008261198446657264,0.01,0.005,0.008
B01D,2514,20,0.007955449482895784,0.0,0.0,0.004,2514,20,0.007482314314630271,0.01,0.005,0.004,2514,20,0.010655990853284922,0.01,0.01,0.01,2514,20,0.012301101824228236,0.02,0.015,0.008,2514,20,0.015181418515518776,0.0,0.02,0.016,2514,20,0.008387881834333841,0.0,0.005,0.01
A61B,2092,18,0.008604206500956023,0.01,0.005,0.006,2092,18,0.011643854395672955,0.01,0.005,0.012,2092,18,0.010878442820417635,0.01,0.01,0.012,2092,18,0.007660283407711873,0.01,0.005,0.002,2092,18,0.01167157893837589,0.01,0.01,0.008,2092,18,0.012737763886745211,0.02,0.01,0.008
B65D,3374,17,0.005038529934795495,0.02,0.01,0.004,3374,17,0.003907465467182063,0.0,0.0,0.002,3374,17,0.0053619433627803414,0.01,0.005,0.002,3374,17,0.00476829125026928,0.0,0.0,0.002,3374,17,0.0053911513932801865,0.01,0.005,0.002,3374,17,0.005231242372266983,0.01,0.005,0.002
B32B,2622,17,0.0064836003051106025,0.01,0.005,0.006,2622,17,0.0064316103192118045,0.0,0.005,0.004,2622,17,0.007316600036409048,0.0,0.01,0.006,2622,17,0.00913218131837551,0.0,0.015,0.01,2622,17,0.01063468007363442,0.0,0.005,0.012,2622,17,0.012686646706264284,0.01,0.02,0.01
H01R,1849,16,0.008653326122228232,0.01,0.01,0.014,1849,16,0.00854892379236228,0.01,0.005,0.008,1849,16,0.013661598764153581,0.01,0.01,0.014,1849,16,0.009018969975225208,0.0,0.005,0.006,1849,16,0.00935570186948473,0.01,0.005,0.01,1849,16,0.008114465756295285,0.01,0.005,0.008
B01J,977,15,0.015353121801432957,0.0,0.005,0.018,977,15,0.018813425193962185,0.01,0.02,0.016,977,15,0.014562424250493464,0.01,0.005,0.016,977,15,0.015537791671969147,0.01,0.01,0.012,977,15,0.02124126406206355,0.01,0.01,0.024,977,15,0.014048791919966483,0.01,0.01,0.014
C07D,2121,14,0.006600660066006601,0.0,0.005,0.002,2121,14,0.007422126102666386,0.0,0.0,0.006,2121,14,0.01193231531300917,0.01,0.005,0.01,2121,14,0.010059078322576511,0.0,0.005,0.012,2121,14,0.011951655277817962,0.02,0.01,0.012,2121,14,0.006005768621835618,0.0,0.0,0.004
G11B,2623,13,0.004956157072054899,0.0,0.01,0.008,2623,13,0.005850902017601346,0.0,0.0,0.006,2623,13,0.010902978950259948,0.0,0.01,0.012,2623,13,0.00806348732993559,0.0,0.005,0.008,2623,13,0.011082865943699052,0.02,0.015,0.008,2623,13,0.005916742146874737,0.0,0.0,0.002
B23K,1003,12,0.011964107676969093,0.03,0.02,0.008,1003,12,0.011604444301672205,0.01,0.01,0.008,1003,12,0.00958552394740359,0.01,0.005,0.006,1003,12,0.010873234487521413,0.01,0.005,0.008,1003,12,0.01572347588433037,0.0,0.02,0.012,1003,12,0.02505900429742843,0.02,0.01,0.014
G02B,2436,11,0.00451559934318555,0.0,0.0,0.0,2436,11,0.01080802383906352,0.01,0.01,0.008,2436,11,0.007372558018462827,0.0,0.005,0.008,2436,11,0.006403901832633663,0.0,0.0,0.008,2436,11,0.007343204925125892,0.01,0.01,0.008,2436,11,0.013071610998543183,0.01,0.005,0.006
H01J,1572,11,0.006997455470737914,0.01,0.01,0.008,1572,11,0.012060782338156821,0.0,0.01,0.012,1572,11,0.021836616355383177,0.02,0.02,0.014,1572,11,0.022781212045215122,0.03,0.025,0.012,1572,11,0.008360069307745185,0.0,0.0,0.008,1572,11,0.00869373966853522,0.01,0.005,0.004
A61M,1303,11,0.00844205679201842,0.02,0.015,0.012,1303,11,0.009860516046753899,0.01,0.005,0.01,1303,11,0.008872329647928733,0.01,0.005,0.004,1303,11,0.009999664720064649,0.01,0.005,0.008,1303,11,0.00984719029427781,0.0,0.01,0.006,1303,11,0.008250122984571525,0.0,0.005,0.008
B65H,1380,10,0.007246376811594203,0.0,0.0,0.0,1380,10,0.008471810898937605,0.01,0.005,0.008,1380,10,0.0236332379463536,0.01,0.01,0.01,1380,10,0.011397562885734791,0.02,0.01,0.01,1380,10,0.02835771431892208,0.02,0.02,0.014,1380,10,0.006695740256620724,0.0,0.0,0.004
G03C,1241,10,0.008058017727639,0.0,0.01,0.006,1241,10,0.012932512090450897,0.01,0.005,0.012,1241,10,0.0176563591051174,0.02,0.02,0.012,1241,10,0.011413150851540533,0.01,0.005,0.008,1241,10,0.014936249448062622,0.02,0.015,0.012,1241,10,0.015067721119587582,0.0,0.025,0.012
C08G,1503,10,0.00665335994677312,0.01,0.01,0.006,1503,10,0.024599317315024866,0.02,0.02,0.01,1503,10,0.009463046357960123,0.0,0.01,0.008,1503,10,0.007588615621273951,0.0,0.005,0.006,1503,10,0.015511251268418064,0.03,0.015,0.008,1503,10,0.0067162510612440805,0.0,0.0,0.002
A01K,1027,9,0.008763388510223954,0.04,0.02,0.012,1027,9,0.02852889405935575,0.03,0.015,0.01,1027,9,0.03485286423910165,0.02,0.01,0.006,1027,9,0.00931126801294023,0.0,0.01,0.008,1027,9,0.01388926524910849,0.0,0.015,0.012,1027,9,0.00912985697427202,0.01,0.005,0.006
A01N,860,9,0.010465116279069767,0.01,0.005,0.006,860,9,0.022340209789487014,0.01,0.02,0.014,860,9,0.013826823314627168,0.0,0.01,0.014,860,9,0.01261139836132303,0.0,0.005,0.014,860,9,0.01594117717669144,0.01,0.015,0.016,860,9,0.1262880818953307,0.02,0.02,0.016
B29C,1618,9,0.005562422744128554,0.02,0.015,0.01,1618,9,0.0072628576062691245,0.0,0.0,0.006,1618,9,0.006690985269448961,0.0,0.0,0.006,1618,9,0.008587472873025952,0.01,0.005,0.008,1618,9,0.01545817586330043,0.02,0.01,0.012,1618,9,0.005633281023369817,0.0,0.0,0.006
G03G,1407,9,0.006396588486140725,0.03,0.02,0.008,1407,9,0.035184339781032845,0.01,0.005,0.008,1407,9,0.0074558215584811125,0.0,0.0,0.008,1407,9,0.01273729449405513,0.01,0.005,0.004,1407,9,0.009490378573611047,0.0,0.01,0.008,1407,9,0.007941490002125169,0.01,0.01,0.006
G01R,1517,9,0.005932762030323006,0.01,0.005,0.01,1517,9,0.01424310811072936,0.02,0.01,0.014,1517,9,0.007434566369661836,0.0,0.005,0.004,1517,9,0.01596206212219487,0.02,0.015,0.01,1517,9,0.009263352633759925,0.01,0.005,0.004,1517,9,0.013344983198646306,0.01,0.02,0.012
H05B,1023,9,0.008797653958944282,0.03,0.015,0.01,1023,9,0.023783262850466932,0.03,0.015,0.01,1023,9,0.06786762019130156,0.02,0.015,0.008,1023,9,0.028661087438548685,0.02,0.02,0.01,1023,9,0.034857921549945194,0.03,0.025,0.016,1023,9,0.09171354603320045,0.03,0.03,0.014
F16K,1136,9,0.007922535211267605,0.01,0.01,0.008,1136,9,0.006185893208764633,0.0,0.0,0.006,1136,9,0.0078053315047333606,0.0,0.0,0.008,1136,9,0.006910306490158968,0.0,0.005,0.004,1136,9,0.014327098172846765,0.01,0.015,0.012,1136,9,0.02795933106422963,0.04,0.02,0.016
A47C,786,8,0.010178117048346057,0.01,0.005,0.008,786,8,0.01133892419436465,0.01,0.01,0.006,786,8,0.01624772549938658,0.01,0.01,0.008,786,8,0.026124938369716445,0.02,0.015,0.008,786,8,0.15953214679702177,0.03,0.015,0.012,786,8,0.13747154989694532,0.01,0.02,0.012
F16H,1040,8,0.007692307692307693,0.01,0.015,0.008,1040,8,0.008517857934134626,0.0,0.005,0.006,1040,8,0.010002412380448737,0.0,0.01,0.008,1040,8,0.009019441398991086,0.01,0.01,0.006,1040,8,0.005755978506804475,0.0,0.0,0.004,1040,8,0.009239889275610104,0.01,0.01,0.008
G11C,933,8,0.00857449088960343,0.02,0.015,0.014,933,8,0.06160329993241167,0.04,0.02,0.014,933,8,0.03516429992602622,0.04,0.02,0.008,933,8,0.015756140590146947,0.01,0.02,0.01,933,8,0.02983372209989886,0.03,0.025,0.012,933,8,0.008453803886800094,0.01,0.005,0.006
H03K,1152,8,0.006944444444444444,0.01,0.005,0.002,1152,8,0.006830017662636096,0.0,0.005,0.006,1152,8,0.008603971002820947,0.01,0.01,0.006,1152,8,0.006552601286426089,0.0,0.005,0.006,1152,8,0.016424440274229155,0.02,0.01,0.006,1152,8,0.02030718160909967,0.03,0.015,0.01
A61F,1452,8,0.005509641873278237,0.01,0.005,0.006,1452,8,0.010696347862490574,0.01,0.01,0.006,1452,8,0.009667983098781908,0.01,0.005,0.008,1452,8,0.006207974147715404,0.0,0.005,0.006,1452,8,0.005936113804489891,0.0,0.005,0.004,1452,8,0.00939886404847515,0.01,0.005,0.012
